Company,Ticker,Sector,Year,Quarter,Period,quarter_num,time_index,source,Sales,Expenses,Operating Profit,Net Profit,Total Assets,Equity,Borrowings,Total Liabilities,CFO,CFI,CFF,Net Cash Flow
Reliance Industries,RELIANCE,Energy,2024,Q1,Q1 2024,1,8096,real,244934.35,216218.6,28715.75,20122.17,1714491.37,703582.62,418787.11,857245.68,45839.54,-18684.43,-13409.43,13745.68
Reliance Industries,RELIANCE,Energy,2024,Q2,Q2 2024,2,8097,real,251082.14,219940.03,31142.11,19951.18,1711256.61,729427.81,371913.45,855628.31,45620.03,-25764.73,-11081.98,8773.32
Reliance Industries,RELIANCE,Energy,2024,Q3,Q3 2024,3,8098,real,248516.67,217563.26,30953.41,23875.75,1751902.95,655266.89,395559.18,875951.47,50154.29,-25417.78,-12617.28,12119.23
Reliance Industries,RELIANCE,Energy,2024,Q4,Q4 2024,4,8099,real,254450.35,223122.33,31328.02,20566.61,1749957.71,503876.93,347857.68,874978.86,46815.97,-21158.97,-8743.83,16913.16
Reliance Industries,RELIANCE,Energy,2025,Q1,Q1 2025,1,8100,real,266574.45,239631.08,26943.37,22195.53,1770311.49,924215.31,315481.71,885155.75,48750.2,-26858.48,-13225.83,8665.89
Reliance Industries,RELIANCE,Energy,2025,Q2,Q2 2025,2,8101,real,265340.17,233500.66,31839.51,22940.66,1774286.13,804621.2,409388.7,887143.06,49554.95,-33799.9,-10659.01,5096.04
Reliance Industries,RELIANCE,Energy,2025,Q3,Q3 2025,3,8102,real,277736.95,249131.19,28605.76,26698.13,1766823.38,781661.65,493678.47,883411.69,53200.48,-36620.93,-14953.07,1626.48
Reliance Industries,RELIANCE,Energy,2025,Q4,Q4 2025,4,8103,real,283463.84,252524.61,30939.23,23930.48,1810032.31,761176.08,529398.44,905016.16,51080.96,-22243.18,-12226.1,16611.69
TCS,TCS,Tech,2024,Q1,Q1 2024,1,8096,real,59625.71,43363.92,16261.78,12299.93,147208.39,64520.31,35078.75,73604.2,14508.05,-6056.02,-3964.11,4487.92
TCS,TCS,Tech,2024,Q2,Q2 2024,2,8097,real,62403.32,44818.81,17584.51,12524.34,147244.58,62848.27,33382.34,73622.29,14733.0,-7237.92,-3019.55,4475.53
TCS,TCS,Tech,2024,Q3,Q3 2024,3,8098,real,61186.56,44758.53,16428.03,12113.9,148364.77,60028.21,26614.39,74182.39,14339.37,-7697.68,-3685.72,2955.97
TCS,TCS,Tech,2024,Q4,Q4 2024,4,8099,real,62187.0,46026.7,16160.3,12457.63,149515.66,58677.47,40187.55,74757.83,14700.36,-6167.03,-4259.83,4273.5
TCS,TCS,Tech,2025,Q1,Q1 2025,1,8100,real,62372.76,45457.47,16915.29,12476.96,153593.24,69013.3,30275.45,76796.62,14780.86,-6064.83,-4166.19,4549.84
TCS,TCS,Tech,2025,Q2,Q2 2025,2,8101,real,64334.44,47484.91,16849.53,13130.11,149266.4,57257.2,38785.84,74633.2,15369.11,-10618.14,-3919.53,831.44
TCS,TCS,Tech,2025,Q3,Q3 2025,3,8102,real,66249.64,47976.17,18273.46,13413.49,153237.2,57628.51,32793.96,76618.6,15712.05,-10191.17,-2692.27,2828.61
TCS,TCS,Tech,2025,Q4,Q4 2025,4,8103,real,67698.67,50335.09,17363.58,13855.72,154552.54,64317.64,43364.94,77276.27,16174.01,-6496.4,-4255.26,5422.36
Tata Motors,TATAMOTORS,Auto,2024,Q1,Q1 2024,1,8096,real,115667.79,93229.58,22438.21,17054.86,347104.69,165210.49,113377.22,173552.35,22261.43,-15330.37,-3895.17,3035.88
Tata Motors,TATAMOTORS,Auto,2024,Q2,Q2 2024,2,8097,real,118999.36,96048.81,22950.55,17487.41,353544.51,160821.67,74721.46,176772.26,22790.57,-15743.52,-4663.4,2383.66
Tata Motors,TATAMOTORS,Auto,2024,Q3,Q3 2024,3,8098,real,124238.05,98586.9,25651.15,19455.58,354260.57,174868.7,91812.68,177130.28,24769.49,-10245.5,-3868.81,10655.18
Tata Motors,TATAMOTORS,Auto,2024,Q4,Q4 2024,4,8099,real,131542.76,106708.53,24834.22,18631.02,358339.19,123198.88,80164.87,179169.59,24006.11,-13805.84,-2773.83,7426.44
Tata Motors,TATAMOTORS,Auto,2025,Q1,Q1 2025,1,8100,real,134415.01,105430.2,28984.81,20240.94,361900.07,146598.22,99376.3,180950.04,25669.45,-17282.68,-6789.76,1597.01
Tata Motors,TATAMOTORS,Auto,2025,Q2,Q2 2025,2,8101,real,132882.05,104287.22,28594.83,20162.26,365775.78,133267.94,116204.63,182887.89,25648.9,-17722.73,-6884.78,1041.39
Tata Motors,TATAMOTORS,Auto,2025,Q3,Q3 2025,3,8102,real,134570.88,106411.49,28159.38,18552.1,368776.32,166046.03,93060.35,184388.16,24083.75,-15189.53,-6959.07,1935.14
Tata Motors,TATAMOTORS,Auto,2025,Q4,Q4 2025,4,8103,real,135378.12,107882.35,27495.77,19019.98,373966.79,170534.38,103110.85,186983.39,24629.48,-11541.2,-5771.68,7316.61
