Company,Ticker,Sector,Year,Quarter,Period,quarter_num,time_index,source,Sales,Expenses,Operating Profit,Net Profit,Total Assets,Equity,Borrowings,Total Liabilities,CFO,CFI,CFF,Net Cash Flow,is_synthetic_company,CPI_Combined_Index,CPI_Inflation_Rate,WPI,Repo_Rate,Reverse_Repo_Rate,oil_price,exchange_rate,macro_source,macro_is_synthetic
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q3,Q3 2025,3,8102,real,15230.97,11648.05,3582.92,2653.45,78847.56,39279.39,21339.23,39423.78,3836.16,-2291.28,-819.64,725.24,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q4,Q4 2025,4,8103,real,15384.69,12002.65,3382.03,2522.68,79595.31,35511.04,21256.53,39797.66,3716.61,-2481.26,-840.8,394.55,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
ICICI Bank,ICICIBANK,Banking,2024,Q1,Q1 2024,1,8096,real,59493.86,45632.3,13861.56,10770.65,2274016.74,1083546.71,1478110.88,1932914.23,44880.9,-24301.79,-8184.85,12394.26,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
ICICI Bank,ICICIBANK,Banking,2024,Q2,Q2 2024,2,8097,real,61072.91,46615.13,14457.78,10914.66,2308969.42,1049032.9,1500830.13,1962624.01,45549.2,-26069.72,-12223.85,7255.64,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
ICICI Bank,ICICIBANK,Banking,2024,Q3,Q3 2024,3,8098,real,62401.37,47759.42,14641.96,10884.14,2335852.18,1097202.58,1518303.92,1985474.36,45921.92,-27532.91,-9396.23,8992.79,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
ICICI Bank,ICICIBANK,Banking,2024,Q4,Q4 2024,4,8099,real,64424.58,49252.59,15171.99,11781.04,2359332.69,821269.02,1533566.25,2005432.79,47171.03,-25415.94,-7560.36,14194.73,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
ICICI Bank,ICICIBANK,Banking,2025,Q1,Q1 2025,1,8100,real,65414.68,48699.61,16715.07,11676.14,2386759.12,1173021.17,1551393.42,2028745.25,47477.52,-31902.13,-10675.21,4900.19,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
ICICI Bank,ICICIBANK,Banking,2025,Q2,Q2 2025,2,8101,real,64461.48,48333.35,16128.12,11509.72,2404970.8,1158327.95,1563231.02,2044225.18,47584.29,-31794.29,-12263.4,3526.6,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
ICICI Bank,ICICIBANK,Banking,2025,Q3,Q3 2025,3,8102,real,64836.18,49906.88,14929.3,11736.07,2417128.68,1096357.14,1571133.64,2054559.37,47993.0,-30175.01,-13215.02,4602.97,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
ICICI Bank,ICICIBANK,Banking,2025,Q4,Q4 2025,4,8103,real,67154.12,51462.88,15691.24,11786.23,2436912.62,1042475.49,1583993.21,2071375.73,48339.92,-22660.57,-11816.72,13862.63,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
ITC,ITC,FMCG,2024,Q1,Q1 2024,1,8096,real,17071.6,10156.85,6914.75,4915.63,87312.14,42021.88,18086.02,43656.07,6225.32,-3014.5,-652.81,2558.01,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
ITC,ITC,FMCG,2024,Q2,Q2 2024,2,8097,real,16962.03,10256.38,6705.66,4887.58,86462.97,40954.21,21300.89,43231.48,6184.52,-4261.67,-1673.54,249.31,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
ITC,ITC,FMCG,2024,Q3,Q3 2024,3,8098,real,16929.2,10574.65,6354.54,4859.24,87442.5,40285.17,16414.1,43721.25,6170.88,-4201.42,-1476.11,493.35,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
ITC,ITC,FMCG,2024,Q4,Q4 2024,4,8099,real,16883.88,10264.62,6619.25,4888.84,86549.33,40495.51,24064.11,43274.66,6187.08,-3768.58,-1487.97,930.53,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
ITC,ITC,FMCG,2025,Q1,Q1 2025,1,8100,real,16671.93,10317.75,6354.18,4865.55,88854.19,42272.59,39330.11,44427.09,6198.36,-3963.78,-1425.58,809.0,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
ITC,ITC,FMCG,2025,Q2,Q2 2025,2,8101,real,17240.11,10395.4,6844.71,4959.79,89927.38,36992.41,21417.02,44963.69,6308.7,-3617.94,-676.22,2014.54,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
ITC,ITC,FMCG,2025,Q3,Q3 2025,3,8102,real,18296.81,11493.4,6803.41,5355.42,88646.94,37799.36,26988.34,44323.47,6685.12,-2928.87,-1366.76,2389.48,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
ITC,ITC,FMCG,2025,Q4,Q4 2025,4,8103,real,18309.5,11035.06,7274.45,5229.45,91146.87,41223.78,19817.15,45573.43,6596.65,-3708.57,-1500.64,1387.43,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
Infosys,INFY,Tech,2024,Q1,Q1 2024,1,8096,real,37310.13,26378.38,10931.75,7683.66,124613.48,58140.06,37231.68,62306.74,9552.86,-4769.45,-1076.72,3706.69,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
Infosys,INFY,Tech,2024,Q2,Q2 2024,2,8097,real,37044.23,26978.5,10065.73,7934.84,127962.25,57122.28,38411.28,63981.13,9854.27,-4295.26,-2391.13,3167.88,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
Infosys,INFY,Tech,2024,Q3,Q3 2024,3,8098,real,37867.64,26542.78,11324.86,7950.58,129494.92,41310.53,37695.34,64747.46,9893.01,-4032.64,-1202.77,4657.59,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
Infosys,INFY,Tech,2024,Q4,Q4 2024,4,8099,real,38501.58,27694.42,10807.16,8108.25,126191.01,55399.92,33800.97,63095.5,10001.11,-5231.73,-2511.38,2258.0,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
Infosys,INFY,Tech,2025,Q1,Q1 2025,1,8100,real,38456.54,27739.99,10716.55,8257.13,130427.38,55237.56,35954.05,65213.69,10213.54,-6820.27,-2123.07,1270.2,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
Infosys,INFY,Tech,2025,Q2,Q2 2025,2,8101,real,38493.42,27699.58,10793.84,8013.4,129329.14,60112.96,34020.39,64664.57,9953.33,-4002.09,-2012.06,3939.18,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
Infosys,INFY,Tech,2025,Q3,Q3 2025,3,8102,real,37981.17,27366.29,10614.89,7916.14,131436.98,58086.7,35514.61,65718.49,9887.7,-5493.97,-2379.02,2014.71,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
Infosys,INFY,Tech,2025,Q4,Q4 2025,4,8103,real,38746.53,27783.6,10962.93,7770.33,133714.54,60574.22,49897.2,66857.27,9776.04,-4061.39,-1522.42,4192.23,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2024,Q1,Q1 2024,1,8096,real,35720.89,30379.05,5341.84,3678.2,94288.94,49742.85,24117.58,47144.47,5092.53,-2831.7,-1377.21,883.63,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2024,Q2,Q2 2024,2,8097,real,37728.94,31906.59,5822.35,3775.31,96882.22,46723.27,30850.36,48441.11,5228.54,-3195.81,-745.55,1287.18,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2024,Q3,Q3 2024,3,8098,real,39093.54,34434.38,4659.15,3729.23,94923.98,41437.13,27136.59,47461.99,5153.09,-2855.83,-1322.96,974.31,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2024,Q4,Q4 2024,4,8099,real,40953.31,35917.44,5035.86,3800.14,97795.65,45886.04,24289.04,48897.82,5267.07,-2885.23,-873.02,1508.83,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2025,Q1,Q1 2025,1,8100,real,40499.16,34689.0,5810.16,4177.16,97871.4,41527.49,19284.51,48935.7,5645.23,-3776.87,-1099.65,768.72,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2025,Q2,Q2 2025,2,8101,real,40308.23,34592.22,5716.01,3976.71,98959.11,44002.02,19617.44,49479.55,5461.1,-2522.48,-943.97,1994.64,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2025,Q3,Q3 2025,3,8102,real,42496.74,36669.6,5827.14,4156.62,100915.48,44845.18,24113.91,50457.74,5670.35,-3639.57,-1415.61,615.16,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2025,Q4,Q4 2025,4,8103,real,42683.3,37091.41,5591.89,4265.5,99310.1,37165.86,31614.75,49655.05,5755.15,-3100.65,-1435.88,1218.63,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
ONGC,ONGC,Energy,2024,Q1,Q1 2024,1,8096,real,161921.5,147513.38,14408.11,10962.19,654092.59,267229.69,145202.63,327046.29,20773.58,-12987.32,-5429.53,2356.73,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
ONGC,ONGC,Energy,2024,Q2,Q2 2024,2,8097,real,164282.63,149976.51,14306.12,11503.84,652616.33,311529.58,156556.37,326308.17,21293.08,-14000.71,-3956.23,3336.14,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
ONGC,ONGC,Energy,2024,Q3,Q3 2024,3,8098,real,169458.9,153522.28,15936.62,11889.87,663139.26,321024.15,155497.31,331569.63,21836.96,-11284.48,-2231.03,8321.45,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
ONGC,ONGC,Energy,2024,Q4,Q4 2024,4,8099,real,173099.44,158453.9,14645.54,11099.37,673484.58,275515.11,238830.67,336742.29,21201.64,-10345.62,-3513.81,7342.21,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
ONGC,ONGC,Energy,2025,Q1,Q1 2025,1,8100,real,179705.3,162844.32,16860.98,11996.58,680247.62,305694.89,139544.15,340123.81,22200.29,-9263.46,-4659.97,8276.86,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
ONGC,ONGC,Energy,2025,Q2,Q2 2025,2,8101,real,185905.56,170207.97,15697.59,11063.03,680306.54,320183.94,150901.36,340153.27,21267.63,-12451.46,-2556.89,6259.28,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
ONGC,ONGC,Energy,2025,Q3,Q3 2025,3,8102,real,189604.96,174277.36,15327.6,11619.21,690598.82,260767.2,124050.06,345299.41,21978.2,-14150.44,-6361.58,1466.17,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
ONGC,ONGC,Energy,2025,Q4,Q4 2025,4,8103,real,189724.62,173830.51,15894.11,12368.32,705761.1,347857.64,170796.36,352880.55,22954.74,-9947.65,-4557.09,8450.0,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2024,Q1,Q1 2024,1,8096,real,244934.35,216218.6,28715.75,20122.17,1714491.37,703582.62,418787.11,857245.68,45839.54,-18684.43,-13409.43,13745.68,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2024,Q2,Q2 2024,2,8097,real,251082.14,219940.03,31142.11,19951.18,1711256.61,729427.81,371913.45,855628.31,45620.03,-25764.73,-11081.98,8773.32,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2024,Q3,Q3 2024,3,8098,real,248516.67,217563.26,30953.41,23875.75,1751902.95,655266.89,395559.18,875951.47,50154.29,-25417.78,-12617.28,12119.23,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2024,Q4,Q4 2024,4,8099,real,254450.35,223122.33,31328.02,20566.61,1749957.71,503876.93,347857.68,874978.86,46815.97,-21158.97,-8743.83,16913.16,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2025,Q1,Q1 2025,1,8100,real,266574.45,239631.08,26943.37,22195.53,1770311.49,924215.31,315481.71,885155.75,48750.2,-26858.48,-13225.83,8665.89,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2025,Q2,Q2 2025,2,8101,real,265340.17,233500.66,31839.51,22940.66,1774286.13,804621.2,409388.7,887143.06,49554.95,-33799.9,-10659.01,5096.04,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2025,Q3,Q3 2025,3,8102,real,277736.95,249131.19,28605.76,26698.13,1766823.38,781661.65,493678.47,883411.69,53200.48,-36620.93,-14953.07,1626.48,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2025,Q4,Q4 2025,4,8103,real,283463.84,252524.61,30939.23,23930.48,1810032.31,761176.08,529398.44,905016.16,51080.96,-22243.18,-12226.1,16611.69,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
TCS,TCS,Tech,2024,Q1,Q1 2024,1,8096,real,59625.71,43363.92,16261.78,12299.93,147208.39,64520.31,35078.75,73604.2,14508.05,-6056.02,-3964.11,4487.92,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
TCS,TCS,Tech,2024,Q2,Q2 2024,2,8097,real,62403.32,44818.81,17584.51,12524.34,147244.58,62848.27,33382.34,73622.29,14733.0,-7237.92,-3019.55,4475.53,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
TCS,TCS,Tech,2024,Q3,Q3 2024,3,8098,real,61186.56,44758.53,16428.03,12113.9,148364.77,60028.21,26614.39,74182.39,14339.37,-7697.68,-3685.72,2955.97,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
TCS,TCS,Tech,2024,Q4,Q4 2024,4,8099,real,62187.0,46026.7,16160.3,12457.63,149515.66,58677.47,40187.55,74757.83,14700.36,-6167.03,-4259.83,4273.5,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
TCS,TCS,Tech,2025,Q1,Q1 2025,1,8100,real,62372.76,45457.47,16915.29,12476.96,153593.24,69013.3,30275.45,76796.62,14780.86,-6064.83,-4166.19,4549.84,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
TCS,TCS,Tech,2025,Q2,Q2 2025,2,8101,real,64334.44,47484.91,16849.53,13130.11,149266.4,57257.2,38785.84,74633.2,15369.11,-10618.14,-3919.53,831.44,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
TCS,TCS,Tech,2025,Q3,Q3 2025,3,8102,real,66249.64,47976.17,18273.46,13413.49,153237.2,57628.51,32793.96,76618.6,15712.05,-10191.17,-2692.27,2828.61,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
TCS,TCS,Tech,2025,Q4,Q4 2025,4,8103,real,67698.67,50335.09,17363.58,13855.72,154552.54,64317.64,43364.94,77276.27,16174.01,-6496.4,-4255.26,5422.36,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2024,Q1,Q1 2024,1,8096,real,115667.79,93229.58,22438.21,17054.86,347104.69,165210.49,113377.22,173552.35,22261.43,-15330.37,-3895.17,3035.88,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2024,Q2,Q2 2024,2,8097,real,118999.36,96048.81,22950.55,17487.41,353544.51,160821.67,74721.46,176772.26,22790.57,-15743.52,-4663.4,2383.66,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2024,Q3,Q3 2024,3,8098,real,124238.05,98586.9,25651.15,19455.58,354260.57,174868.7,91812.68,177130.28,24769.49,-10245.5,-3868.81,10655.18,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2024,Q4,Q4 2024,4,8099,real,131542.76,106708.53,24834.22,18631.02,358339.19,123198.88,80164.87,179169.59,24006.11,-13805.84,-2773.83,7426.44,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2025,Q1,Q1 2025,1,8100,real,134415.01,105430.2,28984.81,20240.94,361900.07,146598.22,99376.3,180950.04,25669.45,-17282.68,-6789.76,1597.01,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2025,Q2,Q2 2025,2,8101,real,132882.05,104287.22,28594.83,20162.26,365775.78,133267.94,116204.63,182887.89,25648.9,-17722.73,-6884.78,1041.39,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2025,Q3,Q3 2025,3,8102,real,134570.88,106411.49,28159.38,18552.1,368776.32,166046.03,93060.35,184388.16,24083.75,-15189.53,-6959.07,1935.14,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2025,Q4,Q4 2025,4,8103,real,135378.12,107882.35,27495.77,19019.98,373966.79,170534.38,103110.85,186983.39,24629.48,-11541.2,-5771.68,7316.61,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
SYN Auto 01,SYNAUT01,Auto,2024,Q1,Q1 2024,1,8096,synthetic,76466.91,67388.32,9078.59,6939.21,258209.09,129104.54,77462.73,129104.55,11497.4,-6898.44,-2299.48,2299.48,True,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
SYN Auto 01,SYNAUT01,Auto,2024,Q2,Q2 2024,2,8097,synthetic,76008.14,66988.56,9019.57,6719.77,266073.26,134756.07,78520.97,131317.19,11502.22,-6961.19,-2403.61,2137.41,True,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
SYN Auto 01,SYNAUT01,Auto,2024,Q3,Q3 2024,3,8098,synthetic,77966.22,68951.06,9015.16,6969.13,271662.44,146426.65,72997.16,125235.79,11536.84,-7114.37,-2348.23,2074.24,True,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
SYN Auto 01,SYNAUT01,Auto,2024,Q4,Q4 2024,4,8099,synthetic,81583.45,71901.16,9682.29,7082.69,280613.41,149407.12,74585.61,131206.29,12471.86,-7354.76,-2612.28,2504.81,True,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
SYN Auto 01,SYNAUT01,Auto,2025,Q1,Q1 2025,1,8100,synthetic,80312.51,70558.65,9753.86,7156.09,273323.66,143289.5,75362.05,130034.16,12892.51,-7529.91,-2564.06,2798.54,True,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
SYN Auto 01,SYNAUT01,Auto,2025,Q2,Q2 2025,2,8101,synthetic,77875.53,68398.9,9476.63,6928.56,269262.35,137714.19,77939.45,131548.16,12610.09,-7261.04,-2482.7,2866.36,True,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
SYN Auto 01,SYNAUT01,Auto,2025,Q3,Q3 2025,3,8102,synthetic,77721.66,67943.92,9777.74,6876.52,271676.5,141516.6,78373.53,130159.9,13275.77,-7497.83,-2626.52,3151.43,True,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
SYN Auto 01,SYNAUT01,Auto,2025,Q4,Q4 2025,4,8103,synthetic,77807.62,67881.77,9925.84,6743.5,275344.59,148285.08,74979.21,127059.52,13504.18,-7563.87,-2718.69,3221.61,True,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
SYN Auto 02,SYNAUT02,Auto,2024,Q1,Q1 2024,1,8096,synthetic,88158.51,77691.82,10466.68,8000.2,297688.61,148844.3,89306.59,148844.31,13255.32,-7953.19,-2651.06,2651.06,True,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
SYN Auto 02,SYNAUT02,Auto,2024,Q2,Q2 2024,2,8097,synthetic,91670.19,81086.78,10583.4,8241.68,305187.59,152228.85,90734.06,152958.74,13266.82,-7977.31,-2667.63,2621.87,True,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
SYN Auto 02,SYNAUT02,Auto,2024,Q3,Q3 2024,3,8098,synthetic,93613.48,82644.52,10968.95,8531.72,311773.99,147642.04,101156.79,164131.95,14096.75,-8341.71,-2853.22,2901.82,True,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
SYN Auto 02,SYNAUT02,Auto,2024,Q4,Q4 2024,4,8099,synthetic,94459.79,83344.39,11115.41,8437.9,319129.78,144564.55,106437.09,174565.23,13544.73,-8071.0,-2853.28,2620.46,True,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
SYN Auto 02,SYNAUT02,Auto,2025,Q1,Q1 2025,1,8100,synthetic,97857.48,86103.72,11753.76,8646.2,335037.59,145748.31,117968.34,189289.28,14509.26,-8651.41,-3133.03,2724.82,True,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
SYN Auto 02,SYNAUT02,Auto,2025,Q2,Q2 2025,2,8101,synthetic,100127.99,88255.67,11872.32,8745.5,349654.25,147556.22,122423.27,202098.03,14760.14,-9223.92,-3221.33,2314.89,True,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
SYN Auto 02,SYNAUT02,Auto,2025,Q3,Q3 2025,3,8102,synthetic,99097.57,87291.54,11806.03,8344.98,345033.5,147352.52,119009.57,197680.98,14416.1,-8944.23,-3284.36,2187.51,True,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
SYN Auto 02,SYNAUT02,Auto,2025,Q4,Q4 2025,4,8103,synthetic,96770.99,85025.77,11745.22,8268.11,332654.21,138206.61,113726.62,194447.61,13719.67,-8250.78,-3014.23,2454.67,True,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
SYN Auto 03,SYNAUT03,Auto,2024,Q1,Q1 2024,1,8096,synthetic,54942.88,48419.75,6523.13,4985.95,185527.97,92763.98,55658.39,92763.99,8261.09,-4956.66,-1652.22,1652.22,True,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
SYN Auto 03,SYNAUT03,Auto,2024,Q2,Q2 2024,2,8097,synthetic,54769.02,48205.37,6563.65,5010.09,184060.75,94743.62,54938.32,89317.12,8423.64,-5036.2,-1762.35,1625.1,True,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
SYN Auto 03,SYNAUT03,Auto,2024,Q3,Q3 2024,3,8098,synthetic,54696.31,47976.56,6719.75,4881.42,178105.31,90304.88,52542.52,87800.43,8506.27,-5129.2,-1789.42,1587.65,True,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
SYN Auto 03,SYNAUT03,Auto,2024,Q4,Q4 2024,4,8099,synthetic,53324.48,46380.84,6943.65,4699.68,164914.6,80644.35,51839.33,84270.25,8466.51,-5305.25,-1715.63,1445.63,True,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
SYN Auto 03,SYNAUT03,Auto,2025,Q1,Q1 2025,1,8100,synthetic,54035.74,46384.4,7651.34,4674.92,164676.22,78196.22,53813.04,86480.0,8971.74,-5658.84,-1743.39,1569.51,True,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
SYN Auto 03,SYNAUT03,Auto,2025,Q2,Q2 2025,2,8101,synthetic,54636.27,46803.72,7832.56,4706.91,166237.71,77220.26,55131.69,89017.45,9231.78,-5751.07,-1882.77,1597.94,True,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
SYN Auto 03,SYNAUT03,Auto,2025,Q3,Q3 2025,3,8102,synthetic,53477.26,46038.44,7438.82,4754.39,171341.11,84673.08,53610.98,86668.03,9183.05,-5910.58,-1969.67,1302.8,True,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
SYN Auto 03,SYNAUT03,Auto,2025,Q4,Q4 2025,4,8103,synthetic,52087.05,45305.04,6782.01,4652.61,167539.14,80754.04,52628.85,86785.09,8412.42,-5484.22,-1794.66,1133.54,True,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
SYN Auto 04,SYNAUT04,Auto,2024,Q1,Q1 2024,1,8096,synthetic,60104.91,52968.91,7136.0,5454.4,202958.83,101479.41,60887.65,101479.42,9037.25,-5422.35,-1807.45,1807.45,True,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
SYN Auto 04,SYNAUT04,Auto,2024,Q2,Q2 2024,2,8097,synthetic,63503.01,55887.21,7615.79,5552.05,212325.41,106935.02,61615.61,105390.39,9455.6,-5374.19,-1824.65,2256.75,True,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
SYN Auto 04,SYNAUT04,Auto,2024,Q3,Q3 2024,3,8098,synthetic,64175.63,56154.19,8021.44,5463.04,221029.33,111908.32,63246.66,109121.01,9317.68,-5062.73,-1778.17,2476.78,True,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
SYN Auto 04,SYNAUT04,Auto,2024,Q4,Q4 2024,4,8099,synthetic,63721.76,55735.41,7986.35,5370.04,223009.1,109237.52,63047.06,113771.58,9231.65,-5336.39,-1779.81,2115.45,True,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
SYN Auto 04,SYNAUT04,Auto,2025,Q1,Q1 2025,1,8100,synthetic,65158.5,56834.32,8324.18,5641.99,237186.6,116497.54,65695.21,120689.06,9315.48,-5176.87,-1889.11,2249.49,True,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
